Date,High,Low,Open,Close,Volume,Adj Close,coin,rank
2021-07-10,15.247467994689941,13.998595237731934,15.000846862792969,14.18465518951416,116806465,14.18465518951416,WAVES,20
2021-07-11,14.490095138549805,13.856823921203613,14.192004203796387,14.312875747680664,108434048,14.312875747680664,WAVES,20
2021-07-12,14.464021682739258,13.681178092956543,14.308642387390137,13.960843086242676,79217271,13.960843086242676,WAVES,20
2021-07-13,14.02468490600586,13.375068664550781,13.945656776428223,13.540254592895508,61532779,13.540254592895508,WAVES,20
2021-07-14,13.948460578918457,12.863943099975586,13.534998893737793,13.57850456237793,83282454,13.57850456237793,WAVES,20
2021-07-15,14.267616271972656,12.820590019226074,13.594017028808594,13.056208610534668,103661137,13.056208610534668,WAVES,20
2021-07-16,14.208312034606934,12.751435279846191,13.066852569580078,13.41662311553955,192390259,13.41662311553955,WAVES,20
2021-07-17,13.463027000427246,12.699995040893555,13.463027000427246,13.176054954528809,77779113,13.176054954528809,WAVES,20
2021-07-18,13.68811321258545,12.879705429077148,13.179763793945312,13.20065975189209,74950395,13.20065975189209,WAVES,20
2021-07-19,13.650899887084961,12.79730224609375,13.191705703735352,12.810673713684082,96413910,12.810673713684082,WAVES,20
2021-07-20,12.999906539916992,11.713279724121094,12.824665069580078,11.906414985656738,90081685,11.906414985656738,WAVES,20
2021-07-21,12.935188293457031,11.676932334899902,11.880059242248535,12.726614952087402,87197474,12.726614952087402,WAVES,20
2021-07-22,14.802419662475586,12.642131805419922,12.740169525146484,14.154062271118164,249082499,14.154062271118164,WAVES,20
2021-07-23,14.563337326049805,13.795236587524414,14.114396095275879,14.345444679260254,119678925,14.345444679260254,WAVES,20
2021-07-24,16.179227828979492,14.199662208557129,14.35092830657959,15.035606384277344,262466768,15.035606384277344,WAVES,20
2021-07-25,15.983731269836426,14.575324058532715,15.002740859985352,15.400425910949707,192245520,15.400425910949707,WAVES,20
2021-07-26,16.37513542175293,14.886346817016602,15.404419898986816,15.016263961791992,177403235,15.016263961791992,WAVES,20
2021-07-27,15.133219718933105,14.342305183410645,14.99620532989502,15.067060470581055,115838393,15.067060470581055,WAVES,20
2021-07-28,17.01180076599121,14.715386390686035,15.113718032836914,15.59510326385498,261230708,15.59510326385498,WAVES,20
2021-07-29,15.961965560913086,15.251579284667969,15.616718292236328,15.723204612731934,103351975,15.723204612731934,WAVES,20
2021-07-30,17.176597595214844,15.497503280639648,15.74019718170166,16.269573211669922,201336760,16.269573211669922,WAVES,20
2021-07-31,16.706703186035156,15.925408363342285,16.255956649780273,16.566219329833984,104469360,16.566219329833984,WAVES,20
2021-08-01,16.946182250976562,15.603364944458008,16.549440383911133,15.809539794921875,109663785,15.809539794921875,WAVES,20
2021-08-02,16.172319412231445,15.530035972595215,15.834929466247559,15.974278450012207,94871488,15.974278450012207,WAVES,20
2021-08-03,16.44361114501953,15.496940612792969,16.05369758605957,16.012115478515625,124058332,16.012115478515625,WAVES,20
2021-08-04,16.33501434326172,15.522941589355469,16.080787658691406,16.276823043823242,86654807,16.276823043823242,WAVES,20
2021-08-05,16.627683639526367,15.612836837768555,16.269657135009766,16.37070083618164,104879455,16.37070083618164,WAVES,20
2021-08-06,16.812091827392578,16.01485824584961,16.366647720336914,16.657432556152344,114344401,16.657432556152344,WAVES,20
2021-08-07,17.404335021972656,16.445112228393555,16.651321411132812,17.327035903930664,115849400,17.327035903930664,WAVES,20
2021-08-08,17.571191787719727,16.123779296875,17.35993194580078,16.26274871826172,97056250,16.26274871826172,WAVES,20
2021-08-09,17.87626075744629,15.893864631652832,16.258281707763672,17.29151725769043,152490269,17.29151725769043,WAVES,20
2021-08-10,17.825532913208008,16.930879592895508,17.269489288330078,17.57269287109375,124612124,17.57269287109375,WAVES,20
2021-08-11,19.49076271057129,17.382108688354492,17.584692001342773,18.631593704223633,214881220,18.631593704223633,WAVES,20
2021-08-12,19.881263732910156,17.728286743164062,18.62185287475586,19.881263732910156,193579351,19.881263732910156,WAVES,20
2021-08-13,21.221179962158203,19.292736053466797,19.871013641357422,20.64921760559082,205539452,20.64921760559082,WAVES,20
2021-08-14,27.39349937438965,20.308683395385742,20.68048858642578,26.202865600585938,1207383743,26.202865600585938,WAVES,20
2021-08-15,27.157878875732422,24.075897216796875,26.5832462310791,24.923229217529297,313572818,24.923229217529297,WAVES,20
2021-08-16,24.998380661010742,23.09592628479004,24.92224884033203,23.508615493774414,179058541,23.508615493774414,WAVES,20
2021-08-17,25.13436508178711,21.960893630981445,23.470211029052734,22.202516555786133,282760031,22.202516555786133,WAVES,20
2021-08-18,24.723283767700195,21.311527252197266,22.197477340698242,23.381183624267578,296252393,23.381183624267578,WAVES,20
2021-08-19,23.92560577392578,22.41261863708496,23.36597442626953,23.838138580322266,133449189,23.838138580322266,WAVES,20
2021-08-20,25.311283111572266,23.464107513427734,23.871118545532227,24.49276351928711,168683304,24.49276351928711,WAVES,20
2021-08-21,26.9247989654541,23.979101181030273,24.506406784057617,24.879987716674805,243626612,24.879987716674805,WAVES,20
